date,time,drone_name,uid,angle_neg_degs,angle_pos_degs,angle_trim_degs,left_min,left_max,left_trim,right_min,right_max,right_trim
2026-04-03,11:57:54,SN020,3689381615407478064,-33.0,35.0,-5.0,1170,1902,-0.25,1092,1848,-0.22
2026-04-03,12:09:58,SN021,3689381606817543472,-33.0,35.0,-5.0,1026,1860,-0.34,936,1866,-0.41
2026-04-03,12:14:56,SN019,3689381611112510768,-33.0,35.0,-5.0,1122,1968,-0.26,1026,1782,-0.21
2026-04-03,12:22:18,SN023,3617324068613665847,-33.0,35.0,-5.0,1152,1932,-0.35,1206,1950,-0.35
2026-04-03,12:37:22,SN024,3689381611112510768,-33.0,35.0,-5.0,1080,1896,-0.29,1152,1902,-0.32
2026-04-03,12:45:00,SN017,3689381615407478064,-33.0,35.0,-5.0,1056,1818,-0.25,1050,1824,-0.18
2026-04-03,12:58:40,SN016,3689381585342706992,-33.0,35.0,-5.0,1200,1956,-0.25,1116,1824,-0.32
2026-07-14,13:46:19,SN042,3617324047138829367,-33.0,35.0,-5.0,1008,1704,-0.25,1074,1752,-0.28
2026-07-14,14:14:27,SM47,3473208854818600246,-33.0,35.0,-5.0,1026,1800,-0.28,1086,1866,-0.18
2026-07-15,13:26:24,SM51,3473208859063040049,-33.0,35.0,-5.0,1140,1914,-0.35,1248,1962,-0.26
2026-07-15,13:43:58,SM49,3473208854818600246,-33.0,35.0,-5.0,1008,1770,-0.29,1032,1878,-0.32
2026-07-15,13:51:22,SM52,3617324051433796663,-33.0,35.0,-5.0,1044,1830,-0.42,1038,1824,-0.32
2026-07-15,14:49:59,SN50,3617324051433796663,-33.0,35.0,-5.0,978,1692,-0.28,1206,1914,-0.34
2026-07-15,18:11:57,SM48,3617324068613665847,-33.0,35.0,-5.0,1116,1908,-0.43,900,2100,0.0
2026-07-30,13:36:08,SN044,3473208854818600246,-33.0,35.0,-5.0,1164,1842,-0.28,1146,1848,-0.24
2026-07-30,14:10:31,SN055,3617324068613665847,-33.0,35.0,-5.0,1242,2034,-0.27,924,1656,-0.18
2026-07-30,15:26:32,SN057,3617324051433796663,-33.0,35.0,-5.0,1242,1992,-0.29,1086,1830,-0.21
2026-07-31,13:53:41,SM_59,3689381615407478064,-33.0,35.0,-5.0,1038,1818,-0.34,1158,1854,-0.22
2026-07-31,14:04:59,SM60,3473208854818600246,-33.0,35.0,-5.0,1044,1776,-0.28,1182,1884,-0.25
2026-07-31,14:14:25,SM61,3689381598227608880,-33.0,35.0,-5.0,1086,1854,-0.29,1002,1686,-0.24

2026-07-31,14:30:51,SM62,3473208859063040049,-33.0,35.0,-5.0,1086,1878,-0.36,1104,1878,-0.3
2026-07-31,14:41:33,SM63,3473208859063040049,-33.0,35.0,-5.0,1080,1830,-0.31,1116,1830,-0.29
2026-07-31,14:52:19,SM64,3473208859063040049,-33.0,35.0,-5.0,948,1692,-0.33,1140,1944,-0.39
